,model,n_estimators,max_depth,min_samples_split,accuracy
0,Random Forest,10,5,2,0.5062089356110381
1,Random Forest,10,5,5,0.29990075385573
2,Random Forest,10,5,10,0.29990040805034923
3,Random Forest,10,5,15,0.27913929040735874
4,Random Forest,10,10,2,0.6110951656407774
5,Random Forest,10,10,5,0.6321232450376928
6,Random Forest,10,10,10,0.5911228300712359
7,Random Forest,10,10,15,0.6126737672038177
8,Random Forest,10,20,2,0.6132087281278096
9,Random Forest,10,20,5,0.631867694861332
10,Random Forest,10,20,10,0.6087412684141366
11,Random Forest,10,20,15,0.5779791133550038
12,Random Forest,10,50,2,0.6260858288954976
13,Random Forest,10,50,5,0.6137312400580953
14,Random Forest,10,50,10,0.6129445328169306
15,Random Forest,10,50,15,0.6145144892454526
16,Random Forest,10,100,2,0.6245086105539802
17,Random Forest,10,100,5,0.6053250570578879
18,Random Forest,10,100,10,0.5850823016806141
19,Random Forest,10,100,15,0.5895473407566222
20,Random Forest,50,5,2,0.2631067155404938
21,Random Forest,50,5,5,0.2757216958295871
22,Random Forest,50,5,10,0.26731205477557235
23,Random Forest,50,5,15,0.27099073241579635
24,Random Forest,50,10,2,0.60058129884501
25,Random Forest,50,10,5,0.6218673490559513
26,Random Forest,50,10,10,0.610826129054568
27,Random Forest,50,10,15,0.5887478387163705
28,Random Forest,50,20,2,0.6252932429628605
29,Random Forest,50,20,5,0.6352776817207275
30,Random Forest,50,20,10,0.6134601286396016
31,Random Forest,50,20,15,0.5992610139013763
32,Random Forest,50,50,2,0.6376464485787399
33,Random Forest,50,50,5,0.6247648523411025
34,Random Forest,50,50,10,0.6200287018466006
35,Random Forest,50,50,15,0.6074102635037002
36,Random Forest,50,100,2,0.6323853655162874
37,Random Forest,50,100,5,0.6384317725983817
38,Random Forest,50,100,10,0.6258105678124352
39,Random Forest,50,100,15,0.6105660834082578
40,Random Forest,100,5,2,0.2833429006155336
41,Random Forest,100,5,5,0.27204198077322084
42,Random Forest,100,5,10,0.27204198077322084
43,Random Forest,100,5,15,0.26047824884155196
44,Random Forest,100,10,2,0.6181900546372502
45,Random Forest,100,10,5,0.6195003112248427
46,Random Forest,100,10,10,0.621337921018051
47,Random Forest,100,10,15,0.6168670032505706
48,Random Forest,100,20,2,0.6552510547064112
49,Random Forest,100,20,5,0.6315962376374576
50,Random Forest,100,20,10,0.6200276644304585
51,Random Forest,100,20,15,0.6003129538695622
52,Random Forest,100,50,2,0.6323867487378103
53,Random Forest,100,50,5,0.6379033819766236
54,Random Forest,100,50,10,0.6176640846531573
55,Random Forest,100,50,15,0.6003146828964658
56,Random Forest,100,100,2,0.641845909122346
57,Random Forest,100,100,5,0.6368510962030569
58,Random Forest,100,100,10,0.6260737257071721
59,Random Forest,100,100,15,0.6034694653848814
60,Random Forest,200,5,2,0.2728304170412892
61,Random Forest,200,5,5,0.2723047928625769
62,Random Forest,200,5,10,0.2670485510754547
63,Random Forest,200,5,15,0.2699394840583719
64,Random Forest,200,10,2,0.6321170205408395
65,Random Forest,200,10,5,0.623704613043779
66,Random Forest,200,10,10,0.6168687322774742
67,Random Forest,200,10,15,0.6068801438550384
68,Random Forest,200,20,2,0.6381675772875026
69,Random Forest,200,20,5,0.6266017705235494
70,Random Forest,200,20,10,0.625282177190677
71,Random Forest,200,20,15,0.6026768794522442
72,Random Forest,200,50,2,0.6371170205408396
73,Random Forest,200,50,5,0.6339577425824745
74,Random Forest,200,50,10,0.6294899370634207
75,Random Forest,200,50,15,0.6047804135832353
76,Random Forest,200,100,2,0.6452614288678331
77,Random Forest,200,100,5,0.6321201327892662
78,Random Forest,200,100,10,0.6239688083546581
79,Random Forest,200,100,15,0.6042579016529498
