;Scopy version,f4beeb1
;Exported on,vendredi octobre 11/10/2024
;Device,M2K
;Nr of samples,114688
;Sample rate,10000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.8192,0.0579617
1,-0.8191,0.0579617
2,-0.819,0.0579617
3,-0.8189,0.0579617
4,-0.8188,0.0579617
5,-0.8187,0.0579617
6,-0.8186,0.0579617
7,-0.8185,0.0579617
8,-0.8184,0.0579617
9,-0.8183,0.0579617
10,-0.8182,0.0579617
11,-0.8181,0.0579617
12,-0.818,0.0579617
13,-0.8179,0.0579617
14,-0.8178,0.0579617
15,-0.8177,0.0579617
16,-0.8176,0.0579617
17,-0.8175,0.0579617
18,-0.8174,0.0579617
19,-0.8173,0.0579617
20,-0.8172,0.0579617
21,-0.8171,0.0579617
22,-0.817,0.0579617
23,-0.8169,0.0579617
24,-0.8168,0.0579617
25,-0.8167,0.0579617
26,-0.8166,0.0579617
27,-0.8165,0.0579617
28,-0.8164,0.0579617
29,-0.8163,0.0579617
30,-0.8162,0.0579617
31,-0.8161,0.0579617
32,-0.816,0.0579617
33,-0.8159,0.0579617
34,-0.8158,0.0579617
35,-0.8157,0.0579617
36,-0.8156,0.0579617
37,-0.8155,0.0579617
38,-0.8154,0.0579617
39,-0.8153,0.0579617
40,-0.8152,0.0579617
41,-0.8151,0.0579617
42,-0.815,0.0579617
43,-0.8149,0.0579617
44,-0.8148,0.0579617
45,-0.8147,0.0579617
46,-0.8146,0.0579617
47,-0.8145,0.0579617
48,-0.8144,0.0579617
49,-0.8143,0.0579617
50,-0.8142,0.0579617
51,-0.8141,0.0579617
52,-0.814,0.0579617
53,-0.8139,0.0579617
54,-0.8138,0.0579617
55,-0.8137,0.0579617
56,-0.8136,0.0579617
57,-0.8135,0.0579617
58,-0.8134,0.0579617
59,-0.8133,0.0579617
60,-0.8132,0.0579617
61,-0.8131,0.0579617
62,-0.813,0.0579617
63,-0.8129,0.0579617
64,-0.8128,0.0579617
65,-0.8127,0.0579617
66,-0.8126,0.0579617
67,-0.8125,0.0579617
68,-0.8124,0.0579617
69,-0.8123,0.0579617
70,-0.8122,0.0579617
71,-0.8121,0.0579617
72,-0.812,0.0579617
73,-0.8119,0.0579617
74,-0.8118,0.0579617
75,-0.8117,0.0579617
76,-0.8116,0.0579617
77,-0.8115,0.0579617
78,-0.8114,0.0579617
79,-0.8113,0.0579617
80,-0.8112,0.0579617
81,-0.8111,0.0579617
82,-0.811,0.0579617
83,-0.8109,0.0579617
84,-0.8108,0.0579617
85,-0.8107,0.0579617
86,-0.8106,0.0579617
87,-0.8105,0.0579617
88,-0.8104,0.0579617
89,-0.8103,0.0579617
90,-0.8102,0.0579617
91,-0.8101,0.0579617
92,-0.81,0.0579617
93,-0.8099,0.0579617
94,-0.8098,0.0579617
95,-0.8097,0.0579617
96,-0.8096,0.0579617
97,-0.8095,0.0579617
98,-0.8094,0.0579617
99,-0.8093,0.0579617
100,-0.8092,0.0579617
101,-0.8091,0.0579617
102,-0.809,0.0579617
103,-0.8089,0.0579617
104,-0.8088,0.0579617
