[2025-02-25 10:07:18] INFO    : Opening the MEL Window
[2025-02-25 10:07:18] ERROR   : Error loading the model : Can't get attribute 'DecisionTreeWrapper' on <module '__main__' from 'C:\\Dev\\GIT\\LELEC210X_Contribution_Group_E\\.venv\\Scripts\\uart_reader.exe\\__main__.py'>
[2025-02-25 10:07:18] ERROR   : No model loaded, please load a model in the settings
[2025-02-25 10:10:07] INFO    : Opening the MEL Window
[2025-02-25 10:10:07] ERROR   : Error loading the model : Can't get attribute 'DecisionTreeWrapper' on <module '__main__' from 'C:\\Dev\\GIT\\LELEC210X_Contribution_Group_E\\.venv\\Scripts\\uart_reader.exe\\__main__.py'>
[2025-02-25 10:10:07] ERROR   : No model loaded, please load a model in the settings
[2025-02-25 10:14:49] INFO    : Opening the MEL Window
[2025-02-25 10:14:49] ERROR   : Error loading the model : name 'load_model' is not defined
[2025-02-25 10:14:49] ERROR   : No model loaded, please load a model in the settings
[2025-02-25 10:15:07] INFO    : Opening the MEL Window
[2025-02-25 10:15:07] ERROR   : Error loading the model : Can't get attribute 'DecisionTreeWrapper' on <module '__main__' from 'C:\\Dev\\GIT\\LELEC210X_Contribution_Group_E\\.venv\\Scripts\\uart_reader.exe\\__main__.py'>
[2025-02-25 10:15:07] ERROR   : No model loaded, please load a model in the settings
[2025-02-25 10:16:51] INFO    : Opening the MEL Window
[2025-02-25 10:16:51] ERROR   : Error loading the model : Can't get attribute 'DecisionTreeWrapper' on <module '__main__' from 'C:\\Dev\\GIT\\LELEC210X_Contribution_Group_E\\.venv\\Scripts\\uart_reader.exe\\__main__.py'>
[2025-02-25 10:16:51] ERROR   : No model loaded, please load a model in the settings
[2025-02-25 10:18:43] INFO    : Opening the MEL Window
[2025-02-25 10:18:43] ERROR   : Error loading the model : Can't get attribute 'DecisionTreeWrapper' on <module '__main__' from 'C:\\Dev\\GIT\\LELEC210X_Contribution_Group_E\\.venv\\Scripts\\uart_reader.exe\\__main__.py'>
[2025-02-25 10:18:43] ERROR   : No model loaded, please load a model in the settings
[2025-02-25 10:19:25] INFO    : Opening the MEL Window
[2025-02-25 10:19:25] ERROR   : Error loading the model : Can't get attribute 'DecisionTreeWrapper' on <module '__main__' from 'C:\\Dev\\GIT\\LELEC210X_Contribution_Group_E\\.venv\\Scripts\\uart_reader.exe\\__main__.py'>
[2025-02-25 10:19:25] ERROR   : No model loaded, please load a model in the settings
[2025-02-25 10:21:53] INFO    : Opening the MEL Window
[2025-02-25 10:21:53] ERROR   : Error loading the model : Can't get attribute 'DecisionTreeWrapper' on <module '__main__' from 'C:\\Dev\\GIT\\LELEC210X_Contribution_Group_E\\.venv\\Scripts\\uart_reader.exe\\__main__.py'>
[2025-02-25 10:21:53] ERROR   : No model loaded, please load a model in the settings
[2025-02-25 10:22:19] INFO    : Opening the MEL Window
[2025-02-25 10:22:19] ERROR   : Error loading the model : Can't get attribute 'DecisionTreeWrapper' on <module '__main__' from 'C:\\Dev\\GIT\\LELEC210X_Contribution_Group_E\\.venv\\Scripts\\uart_reader.exe\\__main__.py'>
[2025-02-25 10:22:19] ERROR   : No model loaded, please load a model in the settings
[2025-02-25 10:22:59] INFO    : Opening the MEL Window
[2025-02-25 10:22:59] ERROR   : Error loading the model : Can't get attribute 'DecisionTreeWrapper' on <module '__main__' from 'C:\\Dev\\GIT\\LELEC210X_Contribution_Group_E\\.venv\\Scripts\\uart_reader.exe\\__main__.py'>
[2025-02-25 10:22:59] ERROR   : No model loaded, please load a model in the settings
