Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,484.0mV,80.00mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.250000mV,2.500000mV
Time interval        :,200.00000uS,200.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,164.000000,-3080.000000
2,164.000000,-3080.000000
3,160.000000,-3120.000000
4,160.000000,-3120.000000
5,160.000000,-3080.000000
6,156.000000,-3120.000000
7,156.000000,-3080.000000
8,160.000000,-3080.000000
9,160.000000,-3080.000000
10,160.000000,-3080.000000
11,156.000000,-3080.000000
12,156.000000,-3080.000000
13,156.000000,-3080.000000
14,160.000000,-3080.000000
15,160.000000,-3080.000000
16,156.000000,-3080.000000
17,160.000000,-3080.000000
18,156.000000,-3080.000000
19,156.000000,-3080.000000
20,160.000000,-3080.000000
21,160.000000,-3080.000000
22,160.000000,-3080.000000
23,156.000000,-3080.000000
24,160.000000,-3080.000000
25,80.000000,-3080.000000
26,20.000000,-3080.000000
27,-20.000000,-3120.000000
28,-60.000000,-3120.000000
29,-92.000000,-3120.000000
30,-116.000000,-3080.000000
31,-132.000000,-3080.000000
32,-152.000000,-3080.000000
33,-164.000000,-3080.000000
34,-176.000000,-3080.000000
35,-180.000000,-3120.000000
36,-188.000000,-3040.000000
37,-188.000000,-3080.000000
38,-200.000000,-3080.000000
39,-200.000000,-3080.000000
40,-200.000000,-3080.000000
41,-208.000000,-3080.000000
42,-196.000000,-3080.000000
43,-212.000000,-3120.000000
44,-204.000000,-3080.000000
45,-208.000000,-3120.000000
46,-212.000000,-3080.000000
47,-208.000000,-3120.000000
48,-212.000000,-3080.000000
49,-208.000000,-3080.000000
50,-216.000000,-3080.000000
51,-208.000000,-3120.000000
52,-212.000000,-3080.000000
53,-212.000000,-3080.000000
54,-208.000000,-3080.000000
55,-216.000000,-3080.000000
56,-212.000000,-3080.000000
57,-212.000000,-3120.000000
58,-212.000000,-3080.000000
59,-212.000000,-3120.000000
60,-208.000000,-3080.000000
61,-212.000000,-3080.000000
62,-212.000000,-3080.000000
63,-216.000000,-3080.000000
64,-216.000000,-3080.000000
65,-208.000000,-3080.000000
66,-216.000000,-3080.000000
67,-212.000000,-3120.000000
68,-212.000000,-3080.000000
69,-212.000000,-3080.000000
70,-212.000000,-3080.000000
71,-216.000000,-3120.000000
72,-208.000000,-3080.000000
73,-212.000000,-3080.000000
74,-212.000000,-3080.000000
75,-212.000000,-3080.000000
76,-212.000000,-3080.000000
77,-212.000000,-3080.000000
78,-216.000000,-3080.000000
79,-216.000000,-3080.000000
80,-212.000000,-3080.000000
81,-212.000000,-3080.000000
82,-212.000000,-3080.000000
83,-212.000000,-3120.000000
84,-212.000000,-3080.000000
85,-216.000000,-3120.000000
86,-216.000000,-3080.000000
87,-212.000000,-3080.000000
88,-212.000000,-3080.000000
89,-216.000000,-3080.000000
90,-216.000000,-3080.000000
91,-212.000000,-3080.000000
92,-212.000000,-3120.000000
93,-216.000000,-3080.000000
94,-208.000000,-3080.000000
95,-212.000000,-3080.000000
96,-212.000000,-3080.000000
97,-216.000000,-3080.000000
98,-216.000000,-3080.000000
99,-212.000000,-3120.000000
100,-216.000000,-3080.000000
101,-216.000000,-3080.000000
102,-216.000000,-3080.000000
103,-212.000000,-3080.000000
104,-212.000000,-3080.000000
105,-212.000000,-3080.000000
106,-212.000000,-3080.000000
107,-212.000000,-3080.000000
108,-212.000000,-3080.000000
109,-220.000000,-3120.000000
110,-212.000000,-3080.000000
111,-216.000000,-3120.000000
112,-212.000000,-3080.000000
113,-212.000000,-3080.000000
114,-216.000000,-3080.000000
115,-216.000000,-3080.000000
116,-212.000000,-3120.000000
117,-212.000000,-3080.000000
118,-212.000000,-3080.000000
119,-212.000000,-3080.000000
120,-216.000000,-3080.000000
121,-216.000000,-3080.000000
122,-212.000000,-3080.000000
123,-212.000000,-3120.000000
124,-212.000000,-3080.000000
125,-216.000000,-3080.000000
126,-208.000000,-3080.000000
127,-212.000000,-3120.000000
128,-216.000000,-3080.000000
129,-212.000000,-3080.000000
130,-208.000000,-3080.000000
131,-212.000000,-3080.000000
132,-216.000000,-3120.000000
133,-216.000000,-3080.000000
134,-208.000000,-3080.000000
135,-212.000000,-3080.000000
136,-208.000000,-3080.000000
137,-208.000000,-3080.000000
138,-212.000000,-3080.000000
139,-212.000000,-3080.000000
140,-212.000000,-3080.000000
141,-212.000000,-3080.000000
142,-212.000000,-3120.000000
143,-212.000000,-3080.000000
144,-216.000000,-3080.000000
145,-216.000000,-3080.000000
146,-212.000000,-3080.000000
147,-212.000000,-3080.000000
148,-208.000000,-3080.000000
149,-216.000000,-3080.000000
150,-216.000000,-3080.000000
151,-212.000000,-3080.000000
152,-212.000000,-3080.000000
153,-216.000000,-3120.000000
154,-212.000000,-3080.000000
155,-212.000000,-3080.000000
156,-216.000000,-3040.000000
157,-216.000000,-3080.000000
158,-208.000000,-3080.000000
159,-208.000000,-3080.000000
160,-212.000000,-3080.000000
161,-216.000000,-3120.000000
162,-216.000000,-3080.000000
163,-216.000000,-3080.000000
164,-216.000000,-3080.000000
165,-212.000000,-3040.000000
166,-216.000000,-3080.000000
167,-208.000000,-3080.000000
168,-212.000000,-3080.000000
169,-212.000000,-3080.000000
170,-212.000000,-3080.000000
171,-212.000000,-3080.000000
172,-208.000000,-3080.000000
173,-208.000000,-3080.000000
174,-212.000000,-3080.000000
175,-212.000000,-3080.000000
176,-212.000000,-3080.000000
177,-216.000000,-3120.000000
178,-208.000000,-3080.000000
179,-216.000000,-3080.000000
180,-216.000000,-3120.000000
181,-208.000000,-3080.000000
182,-208.000000,-3080.000000
183,-212.000000,-3080.000000
184,-216.000000,-3080.000000
185,-212.000000,-3080.000000
186,-212.000000,-3080.000000
187,-212.000000,-3080.000000
188,-216.000000,-3080.000000
189,-212.000000,-3080.000000
190,-212.000000,-3080.000000
191,-216.000000,-3080.000000
192,-204.000000,-3120.000000
193,-216.000000,-3080.000000
194,-212.000000,-3080.000000
195,-212.000000,-3080.000000
196,-216.000000,-3080.000000
197,-208.000000,-3080.000000
198,-212.000000,-3080.000000
199,-216.000000,-3080.000000
200,-216.000000,-3080.000000
201,-212.000000,-3080.000000
202,-212.000000,-3080.000000
203,-216.000000,-3080.000000
204,-208.000000,-3080.000000
205,-212.000000,-3080.000000
206,-212.000000,-3080.000000
207,-212.000000,-3080.000000
208,-212.000000,-3120.000000
209,-212.000000,-3080.000000
210,-212.000000,-3080.000000
211,-212.000000,-3080.000000
212,-208.000000,-3080.000000
213,-212.000000,-3080.000000
214,-212.000000,-3080.000000
215,-212.000000,-3120.000000
216,-212.000000,-3080.000000
217,-208.000000,-3080.000000
218,-208.000000,-3080.000000
219,-212.000000,-3080.000000
220,-212.000000,-3080.000000
221,-212.000000,-3080.000000
222,-212.000000,-3080.000000
223,-212.000000,-3080.000000
224,-212.000000,-3080.000000
225,-212.000000,-3080.000000
226,-212.000000,-3080.000000
227,-216.000000,-3080.000000
228,-212.000000,-3080.000000
229,-212.000000,-3080.000000
230,-208.000000,-3080.000000
231,-212.000000,-3080.000000
232,-212.000000,-3080.000000
233,-212.000000,-3120.000000
234,-208.000000,-3120.000000
235,-216.000000,-3080.000000
236,-212.000000,-3080.000000
237,-208.000000,-3080.000000
238,-212.000000,-3080.000000
239,-208.000000,-3120.000000
240,-216.000000,-3080.000000
241,-212.000000,-3120.000000
242,-212.000000,-3120.000000
243,-216.000000,-3080.000000
244,-212.000000,-3080.000000
245,-212.000000,-3080.000000
246,-208.000000,-3080.000000
247,-212.000000,-3080.000000
248,-216.000000,-3080.000000
249,-208.000000,-3080.000000
250,-212.000000,-3080.000000
251,-212.000000,-3080.000000
252,-216.000000,-3080.000000
253,-212.000000,-3080.000000
254,-216.000000,-3080.000000
255,-212.000000,-3080.000000
256,-208.000000,-3080.000000
257,-216.000000,-3080.000000
258,-216.000000,-3080.000000
259,-212.000000,-3080.000000
260,-212.000000,-3120.000000
261,-212.000000,-3080.000000
262,-212.000000,-3080.000000
263,-212.000000,-3080.000000
264,-212.000000,-3080.000000
265,-208.000000,-3080.000000
266,-212.000000,-3080.000000
267,-208.000000,-3080.000000
268,-216.000000,-3080.000000
269,-208.000000,-3080.000000
270,-208.000000,-3080.000000
271,-212.000000,-3080.000000
272,-212.000000,-3080.000000
273,-216.000000,-3080.000000
274,-208.000000,-3080.000000
275,-164.000000,-3120.000000
276,-92.000000,-3120.000000
277,-32.000000,-3080.000000
278,24.000000,-3080.000000
279,72.000000,-3080.000000
280,112.000000,-3080.000000
281,136.000000,-3080.000000
282,152.000000,-3080.000000
283,160.000000,-3080.000000
284,164.000000,-3080.000000
285,164.000000,-3080.000000
286,172.000000,-3080.000000
287,88.000000,-3120.000000
288,32.000000,-3120.000000
289,-16.000000,-3120.000000
290,-56.000000,-3080.000000
291,-80.000000,-3080.000000
292,-116.000000,-3120.000000
293,-132.000000,-3080.000000
294,-148.000000,-3080.000000
295,-160.000000,-3080.000000
296,-172.000000,-3080.000000
297,-180.000000,-3080.000000
298,-184.000000,-3080.000000
299,-192.000000,-3080.000000
300,-184.000000,-3120.000000
301,-200.000000,-3120.000000
302,-204.000000,-3080.000000
303,-200.000000,-3120.000000
304,-204.000000,-3080.000000
