Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,468.0mV,80.00mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.250000mV,2.500000mV
Time interval        :,400.00000uS,400.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-180.000000,-3080.000000
2,-180.000000,-3080.000000
3,-184.000000,-3080.000000
4,-184.000000,-3080.000000
5,-188.000000,-3080.000000
6,-188.000000,-3120.000000
7,-192.000000,-3120.000000
8,-192.000000,-3080.000000
9,-192.000000,-3080.000000
10,-192.000000,-3120.000000
11,-192.000000,-3120.000000
12,-192.000000,-3080.000000
13,-192.000000,-3080.000000
14,-192.000000,-3080.000000
15,-192.000000,-3080.000000
16,-192.000000,-3120.000000
17,-192.000000,-3080.000000
18,-192.000000,-3080.000000
19,-192.000000,-3080.000000
20,-192.000000,-3080.000000
21,-196.000000,-3080.000000
22,-192.000000,-3080.000000
23,-192.000000,-3080.000000
24,-192.000000,-3080.000000
25,-192.000000,-3120.000000
26,-196.000000,-3120.000000
27,-192.000000,-3080.000000
28,-192.000000,-3120.000000
29,-192.000000,-3080.000000
30,-192.000000,-3080.000000
31,-192.000000,-3120.000000
32,-192.000000,-3080.000000
33,-192.000000,-3080.000000
34,-192.000000,-3080.000000
35,-192.000000,-3080.000000
36,-192.000000,-3080.000000
37,-192.000000,-3080.000000
38,-192.000000,-3120.000000
39,-192.000000,-3080.000000
40,-192.000000,-3120.000000
41,-192.000000,-3080.000000
42,-192.000000,-3080.000000
43,-192.000000,-3120.000000
44,-192.000000,-3120.000000
45,-192.000000,-3120.000000
46,-192.000000,-3120.000000
47,-196.000000,-3080.000000
48,-192.000000,-3120.000000
49,-192.000000,-3120.000000
50,-192.000000,-3080.000000
51,-196.000000,-3080.000000
52,-192.000000,-3120.000000
53,-192.000000,-3080.000000
54,-192.000000,-3080.000000
55,-192.000000,-3120.000000
56,-196.000000,-3080.000000
57,-192.000000,-3080.000000
58,-196.000000,-3080.000000
59,-188.000000,-3120.000000
60,-192.000000,-3120.000000
61,-192.000000,-3120.000000
62,-192.000000,-3080.000000
63,-192.000000,-3080.000000
64,-196.000000,-3120.000000
65,-192.000000,-3080.000000
66,-192.000000,-3080.000000
67,-192.000000,-3120.000000
68,-192.000000,-3080.000000
69,-192.000000,-3120.000000
70,-192.000000,-3080.000000
71,-196.000000,-3080.000000
72,-192.000000,-3080.000000
73,-192.000000,-3120.000000
74,-192.000000,-3120.000000
75,-192.000000,-3080.000000
76,-196.000000,-3120.000000
77,-196.000000,-3080.000000
78,-192.000000,-3080.000000
79,-192.000000,-3120.000000
80,-196.000000,-3080.000000
81,-196.000000,-3120.000000
82,-192.000000,-3120.000000
83,-192.000000,-3080.000000
84,-192.000000,-3080.000000
85,-192.000000,-3080.000000
86,-196.000000,-3080.000000
87,-192.000000,-3080.000000
88,-192.000000,-3120.000000
89,-192.000000,-3080.000000
90,-192.000000,-3040.000000
91,-192.000000,-3080.000000
92,-192.000000,-3080.000000
93,-192.000000,-3080.000000
94,-192.000000,-3080.000000
95,-196.000000,-3120.000000
96,-192.000000,-3120.000000
97,-192.000000,-3080.000000
98,-192.000000,-3080.000000
99,-192.000000,-3080.000000
100,-192.000000,-3080.000000
101,-192.000000,-3080.000000
102,-192.000000,-3080.000000
103,-192.000000,-3080.000000
104,-192.000000,-3080.000000
105,-192.000000,-3080.000000
106,-192.000000,-3080.000000
107,-192.000000,-3080.000000
108,-196.000000,-3120.000000
109,-192.000000,-3080.000000
110,-188.000000,-3080.000000
111,-192.000000,-3080.000000
112,-192.000000,-3080.000000
113,-192.000000,-3080.000000
114,-192.000000,-3080.000000
115,-192.000000,-3080.000000
116,-128.000000,-3080.000000
117,0.000000,-3080.000000
118,76.000000,-3120.000000
119,120.000000,-3120.000000
120,148.000000,-3080.000000
121,40.000000,-3080.000000
122,-36.000000,-3120.000000
123,-92.000000,-3120.000000
124,-124.000000,-3080.000000
125,-148.000000,-3120.000000
126,-164.000000,-3080.000000
127,-176.000000,-3120.000000
128,-184.000000,-3080.000000
129,-188.000000,-3120.000000
130,-184.000000,-3080.000000
131,-188.000000,-3080.000000
132,-188.000000,-3080.000000
133,-192.000000,-3120.000000
134,-192.000000,-3080.000000
135,-192.000000,-3080.000000
136,-192.000000,-3080.000000
137,-192.000000,-3120.000000
138,-192.000000,-3080.000000
139,-192.000000,-3120.000000
140,-192.000000,-3080.000000
141,-192.000000,-3120.000000
142,-192.000000,-3080.000000
143,-192.000000,-3080.000000
144,-192.000000,-3080.000000
145,-192.000000,-3080.000000
146,-192.000000,-3120.000000
147,-192.000000,-3120.000000
148,-192.000000,-3120.000000
149,-192.000000,-3120.000000
150,-192.000000,-3080.000000
151,-196.000000,-3120.000000
152,-192.000000,-3120.000000
153,-192.000000,-3080.000000
154,-192.000000,-3080.000000
155,-192.000000,-3080.000000
156,-192.000000,-3120.000000
157,-192.000000,-3080.000000
158,-192.000000,-3080.000000
159,-192.000000,-3080.000000
160,-192.000000,-3080.000000
161,-192.000000,-3080.000000
162,-192.000000,-3080.000000
163,-192.000000,-3120.000000
164,-192.000000,-3080.000000
165,-192.000000,-3080.000000
166,-192.000000,-3120.000000
167,-192.000000,-3080.000000
168,-196.000000,-3120.000000
169,-192.000000,-3080.000000
170,-192.000000,-3080.000000
171,-192.000000,-3120.000000
172,-192.000000,-3120.000000
173,-196.000000,-3120.000000
174,-192.000000,-3080.000000
175,-192.000000,-3080.000000
176,-192.000000,-3080.000000
177,-192.000000,-3080.000000
178,-192.000000,-3120.000000
179,-196.000000,-3080.000000
180,-192.000000,-3080.000000
181,-192.000000,-3080.000000
182,-196.000000,-3080.000000
183,-192.000000,-3080.000000
184,-192.000000,-3120.000000
185,-192.000000,-3080.000000
186,-196.000000,-3080.000000
187,-192.000000,-3080.000000
188,-192.000000,-3080.000000
189,-192.000000,-3120.000000
190,-192.000000,-3080.000000
191,-192.000000,-3080.000000
192,-192.000000,-3080.000000
193,-192.000000,-3080.000000
194,-192.000000,-3080.000000
195,-196.000000,-3080.000000
196,-196.000000,-3120.000000
197,-196.000000,-3080.000000
198,-196.000000,-3080.000000
199,-192.000000,-3080.000000
200,-192.000000,-3080.000000
201,-192.000000,-3080.000000
202,-192.000000,-3080.000000
203,-192.000000,-3080.000000
204,-196.000000,-3080.000000
205,-192.000000,-3080.000000
206,-192.000000,-3080.000000
207,-192.000000,-3080.000000
208,-192.000000,-3080.000000
209,-192.000000,-3080.000000
210,-192.000000,-3120.000000
211,-196.000000,-3080.000000
212,-192.000000,-3080.000000
213,-196.000000,-3120.000000
214,-192.000000,-3120.000000
215,-192.000000,-3080.000000
216,-192.000000,-3080.000000
217,-188.000000,-3080.000000
218,-192.000000,-3120.000000
219,-192.000000,-3080.000000
220,-192.000000,-3080.000000
221,-192.000000,-3080.000000
222,-192.000000,-3120.000000
223,-192.000000,-3120.000000
224,-192.000000,-3080.000000
225,-192.000000,-3120.000000
226,-196.000000,-3080.000000
227,-192.000000,-3080.000000
228,-192.000000,-3120.000000
229,-192.000000,-3080.000000
230,-192.000000,-3080.000000
231,-192.000000,-3120.000000
232,-192.000000,-3080.000000
233,-192.000000,-3080.000000
234,-188.000000,-3080.000000
235,-192.000000,-3120.000000
236,-192.000000,-3080.000000
237,-192.000000,-3120.000000
238,-192.000000,-3120.000000
239,-192.000000,-3080.000000
240,-192.000000,-3080.000000
241,-192.000000,-3120.000000
242,-56.000000,-3080.000000
243,44.000000,-3120.000000
244,100.000000,-3080.000000
245,136.000000,-3080.000000
246,136.000000,-3080.000000
247,136.000000,-3080.000000
248,140.000000,-3080.000000
249,156.000000,-3080.000000
250,168.000000,-3080.000000
251,176.000000,-3120.000000
252,176.000000,-3080.000000
253,172.000000,-3080.000000
254,176.000000,-3080.000000
255,180.000000,-3080.000000
256,184.000000,-3120.000000
257,176.000000,-3080.000000
258,180.000000,-3080.000000
259,180.000000,-3120.000000
260,184.000000,-3120.000000
261,184.000000,-3080.000000
262,176.000000,-3080.000000
263,180.000000,-3080.000000
264,184.000000,-3080.000000
265,184.000000,-3120.000000
266,176.000000,-3120.000000
267,176.000000,-3080.000000
268,180.000000,-3080.000000
269,188.000000,-3080.000000
270,184.000000,-3120.000000
271,176.000000,-3080.000000
272,180.000000,-3120.000000
273,184.000000,-3080.000000
274,180.000000,-3080.000000
275,180.000000,-3120.000000
276,180.000000,-3120.000000
277,180.000000,-3080.000000
278,184.000000,-3080.000000
279,180.000000,-3080.000000
280,176.000000,-3080.000000
281,180.000000,-3080.000000
282,184.000000,-3120.000000
283,184.000000,-3120.000000
284,172.000000,-3120.000000
285,180.000000,-3080.000000
286,184.000000,-3080.000000
287,184.000000,-3080.000000
288,184.000000,-3080.000000
289,176.000000,-3080.000000
290,176.000000,-3120.000000
291,180.000000,-3080.000000
292,188.000000,-3080.000000
293,172.000000,-3080.000000
294,180.000000,-3080.000000
295,180.000000,-3080.000000
296,184.000000,-3080.000000
297,180.000000,-3080.000000
298,176.000000,-3080.000000
299,180.000000,-3080.000000
300,184.000000,-3080.000000
301,184.000000,-3120.000000
302,172.000000,-3080.000000
303,176.000000,-3080.000000
304,180.000000,-3040.000000
305,184.000000,-3080.000000
306,176.000000,-3080.000000
