Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,   ?,80.00mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.250000mV,2.500000mV
Time interval        :,400.00000uS,400.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-512.000000,-3080.000000
2,-512.000000,-3080.000000
3,-512.000000,-3120.000000
4,-512.000000,-3120.000000
5,-512.000000,-3120.000000
6,-512.000000,-3120.000000
7,-512.000000,-3120.000000
8,-512.000000,-3120.000000
9,-512.000000,-3120.000000
10,-512.000000,-3120.000000
11,-512.000000,-3080.000000
12,-512.000000,-3080.000000
13,-512.000000,-3120.000000
14,-512.000000,-3120.000000
15,-512.000000,-3080.000000
16,-512.000000,-3080.000000
17,-512.000000,-3080.000000
18,-512.000000,-3080.000000
19,-512.000000,-3120.000000
20,-512.000000,-3080.000000
21,-512.000000,-3120.000000
22,-512.000000,-3120.000000
23,-512.000000,-3120.000000
24,-512.000000,-3120.000000
25,-512.000000,-3120.000000
26,-512.000000,-3120.000000
27,-512.000000,-3080.000000
28,-512.000000,-3120.000000
29,-512.000000,-3120.000000
30,-512.000000,-3040.000000
31,-512.000000,-3120.000000
32,-512.000000,-3080.000000
33,-512.000000,-3080.000000
34,-512.000000,-3080.000000
35,-512.000000,-3080.000000
36,-512.000000,-3120.000000
37,-512.000000,-3080.000000
38,-512.000000,-3080.000000
39,-512.000000,-3080.000000
40,-512.000000,-3120.000000
41,-512.000000,-3080.000000
42,-512.000000,-3120.000000
43,-512.000000,-3120.000000
44,-512.000000,-3080.000000
45,-512.000000,-3080.000000
46,-512.000000,-3120.000000
47,-512.000000,-3120.000000
48,-512.000000,-3080.000000
49,-512.000000,-3120.000000
50,-512.000000,-3080.000000
51,-512.000000,-3080.000000
52,-512.000000,-3080.000000
53,-512.000000,-3120.000000
54,-512.000000,-3080.000000
55,-512.000000,-3080.000000
56,-512.000000,-3120.000000
57,-512.000000,-3120.000000
58,-512.000000,-3120.000000
59,-512.000000,-3080.000000
60,-512.000000,-3120.000000
61,-512.000000,-3120.000000
62,-512.000000,-3080.000000
63,-512.000000,-3120.000000
64,-512.000000,-3080.000000
65,-512.000000,-3080.000000
66,-512.000000,-3080.000000
67,-512.000000,-3120.000000
68,-512.000000,-3120.000000
69,-512.000000,-3120.000000
70,-512.000000,-3080.000000
71,-512.000000,-3080.000000
72,-512.000000,-3080.000000
73,-512.000000,-3120.000000
74,-512.000000,-3120.000000
75,-512.000000,-3080.000000
76,-512.000000,-3080.000000
77,-512.000000,-3080.000000
78,-512.000000,-3120.000000
79,-512.000000,-3120.000000
80,-512.000000,-3080.000000
81,-512.000000,-3080.000000
82,-512.000000,-3080.000000
83,-512.000000,-3080.000000
84,-512.000000,-3080.000000
85,-512.000000,-3080.000000
86,-512.000000,-3080.000000
87,-512.000000,-3080.000000
88,-512.000000,-3080.000000
89,-512.000000,-3120.000000
90,-512.000000,-3080.000000
91,-512.000000,-3120.000000
92,-512.000000,-3120.000000
93,-512.000000,-3120.000000
94,-512.000000,-3120.000000
95,-512.000000,-3120.000000
96,-512.000000,-3120.000000
97,-512.000000,-3120.000000
98,-512.000000,-3080.000000
99,-512.000000,-3120.000000
100,-512.000000,-3120.000000
101,-512.000000,-3120.000000
102,-512.000000,-3080.000000
103,-512.000000,-3080.000000
104,-512.000000,-3120.000000
105,-512.000000,-3120.000000
106,-512.000000,-3120.000000
107,-512.000000,-3120.000000
108,-512.000000,-3120.000000
109,-512.000000,-3120.000000
110,-512.000000,-3080.000000
111,-512.000000,-3080.000000
112,-512.000000,-3120.000000
113,-512.000000,-3120.000000
114,-512.000000,-3080.000000
115,-512.000000,-3120.000000
116,-512.000000,-3080.000000
117,-512.000000,-3120.000000
118,-512.000000,-3080.000000
119,-512.000000,-3120.000000
120,-512.000000,-3120.000000
121,-512.000000,-3080.000000
122,-512.000000,-3080.000000
123,-512.000000,-3120.000000
124,-512.000000,-3120.000000
125,-512.000000,-3080.000000
126,-512.000000,-3120.000000
127,-512.000000,-3120.000000
128,-512.000000,-3080.000000
129,-512.000000,-3080.000000
130,-512.000000,-3120.000000
131,-512.000000,-3080.000000
132,-512.000000,-3120.000000
133,-512.000000,-3080.000000
134,-512.000000,-3120.000000
135,-512.000000,-3120.000000
136,-512.000000,-3120.000000
137,-512.000000,-3080.000000
138,-512.000000,-3120.000000
139,-512.000000,-3120.000000
140,-512.000000,-3120.000000
141,-512.000000,-3120.000000
142,-512.000000,-3120.000000
143,-512.000000,-3080.000000
144,-512.000000,-3080.000000
145,-512.000000,-3120.000000
146,-512.000000,-3120.000000
147,-512.000000,-3120.000000
148,-512.000000,-3080.000000
149,-512.000000,-3120.000000
150,-512.000000,-3120.000000
151,-512.000000,-3120.000000
152,-512.000000,-3120.000000
153,-512.000000,-3120.000000
154,-512.000000,-3120.000000
155,-512.000000,-3120.000000
156,-512.000000,-3080.000000
157,-512.000000,-3080.000000
158,-512.000000,-3120.000000
159,-512.000000,-3120.000000
160,-512.000000,-3120.000000
161,-512.000000,-3120.000000
162,-512.000000,-3080.000000
163,-512.000000,-3080.000000
164,-512.000000,-3120.000000
165,-512.000000,-3080.000000
166,-512.000000,-3120.000000
167,-512.000000,-3120.000000
168,-512.000000,-3080.000000
169,-512.000000,-3120.000000
170,-512.000000,-3120.000000
171,-512.000000,-3080.000000
172,-512.000000,-3080.000000
173,-512.000000,-3120.000000
174,-512.000000,-3120.000000
175,-512.000000,-3080.000000
176,-512.000000,-3080.000000
177,-512.000000,-3080.000000
178,-512.000000,-3120.000000
179,-512.000000,-3080.000000
180,-512.000000,-3080.000000
181,-512.000000,-3120.000000
182,-512.000000,-3120.000000
183,-512.000000,-3080.000000
184,-512.000000,-3120.000000
185,-512.000000,-3120.000000
186,-512.000000,-3080.000000
187,-512.000000,-3080.000000
188,-512.000000,-3080.000000
189,-512.000000,-3120.000000
190,-512.000000,-3120.000000
191,-512.000000,-3080.000000
192,-512.000000,-3080.000000
193,-512.000000,-3120.000000
194,-512.000000,-3120.000000
195,-512.000000,-3080.000000
196,-512.000000,-3080.000000
197,-512.000000,-3080.000000
198,-512.000000,-3080.000000
199,-512.000000,-3080.000000
200,-512.000000,-3120.000000
201,-512.000000,-3120.000000
202,-512.000000,-3080.000000
203,-512.000000,-3080.000000
204,-512.000000,-3120.000000
205,-512.000000,-3080.000000
206,-512.000000,-3120.000000
207,-512.000000,-3080.000000
208,-512.000000,-3080.000000
209,-512.000000,-3080.000000
210,-512.000000,-3080.000000
211,-512.000000,-3080.000000
212,-512.000000,-3120.000000
213,-512.000000,-3120.000000
214,-512.000000,-3080.000000
215,-512.000000,-3080.000000
216,-512.000000,-3080.000000
217,-512.000000,-3080.000000
218,-512.000000,-3120.000000
219,-512.000000,-3120.000000
220,-512.000000,-3120.000000
221,-512.000000,-3080.000000
222,-512.000000,-3120.000000
223,-512.000000,-3080.000000
224,-512.000000,-3120.000000
225,-512.000000,-3080.000000
226,-512.000000,-3080.000000
227,-512.000000,-3080.000000
228,-512.000000,-3080.000000
229,-512.000000,-3080.000000
230,-512.000000,-3080.000000
231,-512.000000,-3080.000000
232,-512.000000,-3080.000000
233,-512.000000,-3080.000000
234,-512.000000,-3080.000000
235,-512.000000,-3080.000000
236,-512.000000,-3080.000000
237,-512.000000,-3120.000000
238,-512.000000,-3080.000000
239,-512.000000,-3120.000000
240,-512.000000,-3080.000000
241,-512.000000,-3080.000000
242,-512.000000,-3080.000000
243,-512.000000,-3080.000000
244,-512.000000,-3120.000000
245,-512.000000,-3120.000000
246,-512.000000,-3120.000000
247,-512.000000,-3080.000000
248,-512.000000,-3080.000000
249,-512.000000,-3080.000000
250,-512.000000,-3080.000000
251,-512.000000,-3080.000000
252,-512.000000,-3120.000000
253,-512.000000,-3120.000000
254,-512.000000,-3080.000000
255,-512.000000,-3080.000000
256,-512.000000,-3120.000000
257,-512.000000,-3120.000000
258,-512.000000,-3080.000000
259,-512.000000,-3120.000000
260,-512.000000,-3120.000000
261,-512.000000,-3080.000000
262,-512.000000,-3120.000000
263,-512.000000,-3080.000000
264,-512.000000,-3080.000000
265,-512.000000,-3120.000000
266,-512.000000,-3080.000000
267,-512.000000,-3120.000000
268,-512.000000,-3080.000000
269,-512.000000,-3120.000000
270,-512.000000,-3080.000000
271,-512.000000,-3120.000000
272,-512.000000,-3120.000000
273,-512.000000,-3080.000000
274,-512.000000,-3080.000000
275,-512.000000,-3120.000000
276,-512.000000,-3080.000000
277,-512.000000,-3080.000000
278,-512.000000,-3120.000000
279,-512.000000,-3080.000000
280,-512.000000,-3080.000000
281,-512.000000,-3080.000000
282,-512.000000,-3080.000000
283,-512.000000,-3080.000000
284,-512.000000,-3120.000000
285,-512.000000,-3080.000000
286,-512.000000,-3080.000000
287,-512.000000,-3120.000000
288,-512.000000,-3120.000000
289,-512.000000,-3080.000000
290,-512.000000,-3080.000000
291,-512.000000,-3080.000000
292,-512.000000,-3080.000000
293,-512.000000,-3120.000000
294,-512.000000,-3080.000000
295,-512.000000,-3120.000000
296,-512.000000,-3080.000000
297,-512.000000,-3120.000000
298,-512.000000,-3120.000000
299,-512.000000,-3120.000000
300,-512.000000,-3080.000000
301,-512.000000,-3120.000000
302,-512.000000,-3120.000000
