# SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate
-1.000000000000000000e+01,-9.733488984904941077e-01,5.000000000000000000e-01,1.000000000000000000e+00,7.630645490036216949e-02,5.614933909896002007e+01,0.000000000000000000e+00,1.000000000000000000e+00
-9.000000000000000000e+00,2.665110150950589230e-02,5.000000000000000000e-01,1.000000000000000000e+00,7.630645490036216949e-02,5.531155931403489490e+01,0.000000000000000000e+00,1.000000000000000000e+00
-8.000000000000000000e+00,1.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,7.630645490036215561e-02,5.222994381817771625e+01,0.000000000000000000e+00,1.000000000000000000e+00
-7.000000000000000000e+00,2.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,7.630645490036216949e-02,5.300628058305921542e+01,0.000000000000000000e+00,1.000000000000000000e+00
-6.000000000000000000e+00,3.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,7.630645490036215561e-02,4.427380186125875383e+01,0.000000000000000000e+00,1.000000000000000000e+00
-5.000000000000000000e+00,4.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,7.630645490036214174e-02,4.465002099663559676e+01,0.000000000000000000e+00,1.000000000000000000e+00
-4.000000000000000000e+00,5.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,7.630645490036215561e-02,3.713835407971118485e+01,0.000000000000000000e+00,1.000000000000000000e+00
-3.000000000000000000e+00,6.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,7.630645490036216949e-02,3.299219367895987176e+01,0.000000000000000000e+00,1.000000000000000000e+00
-2.000000000000000000e+00,7.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,7.782970123186158662e-02,2.639304477509177360e+01,0.000000000000000000e+00,1.000000000000000000e+00
-1.000000000000000000e+00,8.026651101509505892e+00,5.000000000000000000e-01,1.000000000000000000e+00,7.656823724756195437e-02,2.672438025474114554e+01,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,9.026651101509505892e+00,4.615999999999999548e-01,1.000000000000000000e+00,6.854695606240822359e-02,2.061677108569623229e+01,0.000000000000000000e+00,8.800000000000000044e-01
1.000000000000000000e+00,1.002665110150950589e+01,1.390000000000000124e-01,9.300000000000000488e-01,1.627602240814288170e-02,8.141396916377434678e+00,0.000000000000000000e+00,5.999999999999999778e-02
2.000000000000000000e+00,1.102665110150950589e+01,1.125999999999999918e-01,8.599999999999999867e-01,6.717642755077181567e-03,8.778880908179585774e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.202665110150950589e+01,8.880000000000000393e-02,6.899999999999999467e-01,4.979405029453101532e-03,7.838536614062601160e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.302665110150950589e+01,6.860000000000000819e-02,5.699999999999999512e-01,4.327889774246320397e-03,4.696175305501276931e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.402665110150950589e+01,6.320000000000000617e-02,5.200000000000000178e-01,3.773652888010540704e-03,7.320647170844940099e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.502665110150950589e+01,5.500000000000000028e-02,4.600000000000000200e-01,3.288831606120629688e-03,7.200933099258736370e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.602665110150950767e+01,4.159999999999999809e-02,3.599999999999999867e-01,2.907071545741552430e-03,6.902875306710966719e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.702665110150950767e+01,3.520000000000000212e-02,3.499999999999999778e-01,2.566652433267179942e-03,6.192270887969939963e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.802665110150950767e+01,2.339999999999999719e-02,2.899999999999999800e-01,2.272664477014363534e-03,5.866616358685817545e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.902665110150950767e+01,2.120000000000000009e-02,2.500000000000000000e-01,2.013530988903851088e-03,5.866190203189804997e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,2.002665110150950767e+01,2.040000000000000147e-02,2.099999999999999922e-01,1.832620927278924301e-03,5.865644146212761534e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.102665110150950767e+01,1.439999999999999961e-02,1.600000000000000033e-01,1.651827279211109988e-03,5.864818304943472782e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,2.202665110150950767e+01,9.799999999999999684e-03,1.000000000000000056e-01,1.458476283315933647e-03,5.864365374872205550e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,2.302665110150950767e+01,9.199999999999999845e-03,7.000000000000000666e-02,1.299451800806192053e-03,5.863765854806961997e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.402665110150950767e+01,6.000000000000000125e-03,5.000000000000000278e-02,1.175151119341287650e-03,5.863166273439635923e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,2.502665110150950767e+01,5.999999999999999474e-04,2.999999999999999889e-02,1.028272315211581659e-03,5.153882032022127913e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,2.602665110150950767e+01,4.000000000000000192e-04,2.000000000000000042e-02,9.153157231174023157e-04,4.841229182759241439e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,2.702665110150950767e+01,4.000000000000000192e-04,2.000000000000000042e-02,8.246258432445545319e-04,4.841229182759297645e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,2.802665110150950767e+01,2.000000000000000096e-04,1.000000000000000021e-02,7.259270629481488811e-04,4.506939094330043166e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,2.902665110150950767e+01,2.000000000000000096e-04,1.000000000000000021e-02,6.464982589859642010e-04,4.506939094330043166e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,3.002665110150950767e+01,2.000000000000000096e-04,1.000000000000000021e-02,5.758427263811732215e-04,4.330127018922266813e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,3.102665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.129703675155294733e-04,3.952847075210449979e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,3.202665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.570087926820936425e-04,4.330127018922141219e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,3.302665110150950767e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.071877094889252819e-04,4.330127018922141219e-02,0.000000000000000000e+00,0.000000000000000000e+00
