SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate,SNR estimation matrix (1 columns)
-1.000000000000000000e+01,-9.000670252082301204e-01,3.699999999999999956e-01,1.000000000000000000e+00,1.895276188700041609e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.222838621247921420e-01
-9.000000000000000000e+00,9.993297479176987963e-02,3.325000000000000178e-01,1.000000000000000000e+00,1.892900267793570790e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.570975278852473622e-01
-8.000000000000000000e+00,1.099932974791769880e+00,3.049999999999999933e-01,1.000000000000000000e+00,1.890738113891667904e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.009183590590621904e-01
-7.000000000000000000e+00,2.099932974791769880e+00,2.650000000000000133e-01,1.000000000000000000e+00,1.888791257819996128e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.560776882970006163e-01
-6.000000000000000000e+00,3.099932974791769880e+00,2.200000000000000011e-01,1.000000000000000000e+00,1.887054109441693162e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.255103856344579438e-01
-5.000000000000000000e+00,4.099932974791769880e+00,1.950000000000000067e-01,1.000000000000000000e+00,1.885515837465552014e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.129111169817907268e-01
-4.000000000000000000e+00,5.099932974791769880e+00,1.449999999999999900e-01,1.000000000000000000e+00,1.884162151366298443e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.229310603619518050e-01
-3.000000000000000000e+00,6.099932974791769880e+00,1.074999999999999983e-01,1.000000000000000000e+00,1.882976832133206602e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.614255552455949871e-01
-2.000000000000000000e+00,7.099932974791769880e+00,7.249999999999999500e-02,1.000000000000000000e+00,1.881942946058098587e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.357658726451406839e-01
-1.000000000000000000e+00,8.099932974791769880e+00,5.500000000000000028e-02,1.000000000000000000e+00,1.881043738629070150e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.055231708224130260e+00
0.000000000000000000e+00,9.099932974791769880e+00,2.999999999999999889e-02,1.000000000000000000e+00,1.880263243020819930e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.331505299395283615e+00
1.000000000000000000e+00,1.009993297479176988e+01,1.250000000000000069e-02,1.000000000000000000e+00,1.879586654667408929e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.679293479141261924e+00
2.000000000000000000e+00,1.109993297479176988e+01,5.000000000000000104e-03,1.000000000000000000e+00,1.879000526581990071e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.117110792291179155e+00
3.000000000000000000e+00,1.209993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.878492835354401980e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.668265377038956832e+00
4.000000000000000000e+00,1.309993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.878052959448509862e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.362100112354827974e+00
5.000000000000000000e+00,1.409993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.877671602291325625e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.235555125642383345e+00
6.000000000000000000e+00,1.509993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.877340684203696597e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.335134868443240919e+00
7.000000000000000000e+00,1.609993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.877053220131024158e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.719384512540861110e+00
8.000000000000000000e+00,1.709993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.876803194548380682e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.462007541788009846e+00
9.000000000000000000e+00,1.809993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.876585440728120724e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.065579056077328346e+01
1.000000000000000000e+01,1.909993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.876395528547700753e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.341754432843628742e+01
1.100000000000000000e+01,2.009993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.876229662933903419e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.689432414214885014e+01
