SNR_o [dB],SNR_e [dB],BER,PER,RMSE cfo,RMSE sto,preamble miss rate,preamble false rate,SNR estimation matrix (1 columns)
-1.000000000000000000e+01,-9.000670252082301204e-01,5.000000000000000000e-01,1.000000000000000000e+00,4.965929971414234090e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.051150755132510828e-01
-9.000000000000000000e+00,9.993297479176987963e-02,4.974999999999999978e-01,1.000000000000000000e+00,4.971923798243249037e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.403765483049945473e-01
-8.000000000000000000e+00,1.099932974791769880e+00,2.700000000000000178e-01,1.000000000000000000e+00,2.274407958339106847e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.848152352810434051e-01
-7.000000000000000000e+00,2.099932974791769880e+00,2.424999999999999933e-01,1.000000000000000000e+00,1.813490070833140635e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.408131017501445037e-01
-6.000000000000000000e+00,3.099932974791769880e+00,1.975000000000000089e-01,1.000000000000000000e+00,1.424595781332973219e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.113695666700025955e-01
-5.000000000000000000e+00,4.099932974791769880e+00,1.325000000000000067e-01,1.000000000000000000e+00,1.103007095347020459e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.002614629496202281e-01
-4.000000000000000000e+00,5.099932974791769880e+00,1.150000000000000050e-01,1.000000000000000000e+00,8.414824429382134017e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.122444260556238138e-01
-3.000000000000000000e+00,6.099932974791769880e+00,7.499999999999999722e-02,1.000000000000000000e+00,6.317735504736629332e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.533064390458145354e-01
-2.000000000000000000e+00,7.099932974791769880e+00,4.250000000000000305e-02,1.000000000000000000e+00,4.656467204133514308e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.309870400831076420e-01
-1.000000000000000000e+00,8.099932974791769880e+00,2.249999999999999917e-02,1.000000000000000000e+00,3.354768776490527418e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.054779195697228333e+00
0.000000000000000000e+00,9.099932974791769880e+00,7.499999999999999722e-03,1.000000000000000000e+00,2.345319056791595250e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.336635245794439042e+00
1.000000000000000000e+00,1.009993297479176988e+01,2.500000000000000052e-03,1.000000000000000000e+00,1.570576531434926570e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.691603869116163006e+00
2.000000000000000000e+00,1.109993297479176988e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.824757244605279596e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.138631995659783680e+00
